ip,country_code,region_code,location
2600:1ff8:1000::/40,CA,CA-QC,Montreal
2600:1ff8:2000::/40,US,US-OR,Boardman
2600:1ff8:4000::/40,US,US-OR,Boardman
2600:1ff8:5000::/36,US,US-OH,Columbus
2600:1ff8:6000::/40,US,US-OH,Columbus
2600:1ff8:8000::/40,US,US-VA,Ashburn
2600:1ff8:c000::/40,US,US-CA,San Jose
2600:1ff8:e000::/40,BR,BR-SP,Sao Paulo
2600:1ff9:1000::/40,CA,CA-QC,Montreal
2600:1ff9:2000::/40,US,US-OR,Boardman
2600:1ff9:4000::/39,US,US-OR,Boardman
2600:1ff9:5000::/40,US,US-OH,Columbus
2600:1ff9:6000::/40,US,US-OH,Columbus
2600:1ff9:7400::/40,MX,MX-QUE,Querétaro
2600:1ff9:8000::/39,US,US-VA,Ashburn
2600:1ff9:a400::/40,CA,CA-AB,Calgary
2600:1ff9:c000::/40,US,US-CA,San Jose
2600:1ff9:e000::/40,BR,BR-SP,Sao Paulo
2600:1ffa:1000::/40,CA,CA-QC,Montreal
2600:1ffa:2000::/40,US,US-OR,Boardman
2600:1ffa:4000::/40,US,US-OR,Boardman
2600:1ffa:5000::/40,US,US-OH,Columbus
2600:1ffa:6000::/40,US,US-OH,Columbus
2600:1ffa:8000::/40,US,US-VA,Ashburn
2600:1ffa:c000::/40,US,US-CA,San Jose
2600:1ffa:e000::/40,BR,BR-SP,Sao Paulo
2600:1ffb:1000::/40,CA,CA-QC,Montreal
2600:1ffb:2000::/40,US,US-OR,Boardman
2600:1ffb:4020::/46,US,US-OR,Boardman
2600:1ffb:4040::/47,US,US-OR,Boardman
2600:1ffb:4080::/46,US,US-OR,Boardman
2600:1ffb:40c0::/46,US,US-OR,Boardman
2600:1ffb:5000::/40,US,US-OH,Columbus
2600:1ffb:6000::/40,US,US-OH,Columbus
2600:1ffb:7400::/40,MX,MX-QUE,Querétaro
2600:1ffb:8000::/39,US,US-VA,Ashburn
2600:1ffb:a400::/40,CA,CA-AB,Calgary
2600:1ffb:c000::/40,US,US-CA,San Jose
2600:1ffb:e000::/40,BR,BR-SP,Sao Paulo
2600:1ffc:1000::/40,CA,CA-QC,Montreal
2600:1ffc:2000::/40,US,US-OR,Boardman
2600:1ffc:4000::/39,US,US-OR,Boardman
2600:1ffc:5000::/40,US,US-OH,Columbus
2600:1ffc:6000::/40,US,US-OH,Columbus
2600:1ffc:7400::/40,MX,MX-QUE,Querétaro
2600:1ffc:8000::/39,US,US-VA,Ashburn
2600:1ffc:a400::/40,CA,CA-AB,Calgary
2600:1ffc:c000::/40,US,US-CA,San Jose
2600:1ffc:e000::/40,BR,BR-SP,Sao Paulo
2600:1ffd:803f::/48,US,US-VA,Ashburn
2600:1ffd:8066::/48,US,US-VA,Ashburn
2600:1ffd:807b::/48,US,US-VA,Ashburn
2600:1ffd:807f::/48,US,US-VA,Ashburn
2600:1ffd:80a7::/48,DE,DE-HE,Frankfurt
2600:1ffd:80c8::/48,DE,DE-HE,Frankfurt
2600:1ffd:80cb::/48,DE,DE-HE,Frankfurt
2600:1ffd:80d0::/48,DE,DE-HE,Frankfurt
2600:1ffd:80e1::/48,DE,DE-HE,Frankfurt
2600:1ffd:80f0::/48,DE,DE-HE,Frankfurt
2600:1ffd:812f::/48,JP,JP-13,Tokyo
2600:1ffd:8143::/48,JP,JP-13,Tokyo
2600:1ffd:8149::/48,JP,JP-13,Tokyo
2600:1ffd:8165::/48,JP,JP-13,Tokyo
2600:1ffd:816c::/48,JP,JP-13,Tokyo
2600:1ffd:8188::/48,CA,CA-QC,Montreal
2600:1ffd:818f::/48,CA,CA-QC,Montreal
2600:1ffd:8190::/48,CA,CA-QC,Montreal
2600:1ffd:819f::/48,CA,CA-QC,Montreal
2600:1ffd:81a7::/48,CA,CA-QC,Montreal
2600:1ffd:81c2::/48,CA,CA-QC,Montreal
2600:1ffd:8285::/48,IN,IN-MH,Mumbai
