ip,country_code,region_code,location
2a01:578:0:7200::/56,GB,GB-LND,London
2a01:578:0:7300::1/128,FR,FR-75C,Paris
2a01:578:0:7301::1/128,FR,FR-75C,Paris
2a01:578:0:7302::1/128,FR,FR-75C,Paris
2a01:578:0:7400::/56,IT,IT-MI,Milan
2a01:578:0:7500::1/128,SE,SE-AB,Stockholm
2a01:578:0:7501::1/128,SE,SE-AB,Stockholm
2a01:578:0:7502::1/128,SE,SE-AB,Stockholm
2a01:578:0:7600::1/128,BH,BH-14,Bahrain
2a01:578:0:7601::1/128,BH,BH-14,Bahrain
2a01:578:0:7602::1/128,BH,BH-14,Bahrain
2a01:578:0:7700::/56,IL,IL-TA,Tel Aviv
2a01:578:0:7800::/56,ES,ES-AR,Zaragoza
2a01:578:0:7900::/56,CH,CH-ZH,Zurich
2a01:578:3::/48,IE,IE-D,Dublin
2a01:578:13::/48,DE,DE-HE,Frankfurt
2a05:d000:1000::/40,ES,ES-AR,Zaragoza
2a05:d000:2000::/40,FR,FR-75C,Paris
2a05:d000:4000::/40,DE,DE-HE,Frankfurt
2a05:d000:5000::/40,IL,IL-TA,Tel Aviv
2a05:d000:6000::/40,SE,SE-AB,Stockholm
2a05:d000:8000::/40,IE,IE-D,Dublin
2a05:d000:9000::/40,CH,CH-ZH,Zurich
2a05:d000:a000::/40,IT,IT-MI,Milan
2a05:d000:c000::/40,GB,GB-LND,London
2a05:d000:e000::/40,BH,BH-14,Bahrain
2a05:d010:8000::/36,SA,SA-01,Riyadh
2a05:d011::/36,ES,ES-AR,Zaragoza
